age,annual_income,employment_status,credit_score,loan_amount,debt_to_income_ratio,late_payments_12m,credit_utilization,savings_rate,avg_monthly_transactions,default
38,46198.67,Employed,701,32059.55,0.207,1,1.0,0.038,38,0
49,47935.96,Self-Employed,749,16236.06,0.212,0,0.594,0.1,53,0
28,39362.75,Employed,795,16739.92,0.455,0,0.68,0.023,36,0
40,57639.87,Unemployed,747,21633.94,0.241,2,0.299,0.095,36,0
58,19783.81,Employed,674,8709.47,0.282,1,0.319,0.178,29,0
34,34022.14,Self-Employed,631,18070.08,0.356,1,0.416,0.003,52,1
27,42618.18,Employed,596,10128.53,0.307,1,0.179,0.097,25,0
47,31950.48,Retired,497,35694.76,0.286,2,0.408,0.148,39,1
29,110702.2,Employed,693,18981.07,0.0,0,0.391,0.095,42,0
36,49485.3,Employed,651,22373.58,0.324,0,0.641,0.212,44,0
43,53550.74,Retired,655,4343.36,0.592,0,0.657,0.105,38,0
49,38498.89,Employed,757,22562.38,0.444,0,0.427,0.131,18,0
52,48635.58,Employed,672,13272.85,0.294,1,0.318,0.211,33,0
54,26698.78,Employed,822,6233.57,0.421,0,0.794,0.142,8,0
63,45030.33,Employed,637,15630.63,0.444,1,0.066,0.099,29,0
24,30683.97,Unemployed,607,5937.4,0.224,0,0.059,0.066,43,0
39,42672.0,Employed,586,21303.3,0.539,0,0.506,0.088,48,0
21,13630.18,Employed,734,34904.9,0.374,2,0.385,0.128,24,1
21,27889.3,Employed,766,5042.51,0.303,0,0.332,0.038,64,0
31,101922.01,Retired,635,14501.55,0.589,2,0.0,0.206,10,0
50,74250.43,Employed,600,13373.97,0.04,1,0.207,0.284,40,0
65,94799.52,Employed,795,4474.98,0.174,0,0.725,0.101,42,0
59,98111.58,Retired,571,25588.6,0.446,1,0.688,-0.037,42,1
53,68630.6,Employed,756,21491.79,0.451,1,0.574,0.162,39,0
59,39087.8,Self-Employed,637,49794.16,0.597,0,0.22,0.109,35,1
29,29183.96,Self-Employed,710,19884.59,0.012,0,0.327,0.154,59,0
62,86974.68,Employed,761,8713.25,0.479,0,0.311,0.098,18,0
65,50629.21,Self-Employed,716,20102.54,0.163,1,0.251,0.176,29,0
25,170588.83,Retired,658,31916.69,0.413,2,0.28,0.043,35,0
44,40841.38,Employed,785,11171.02,0.34,1,0.378,0.134,31,0
62,131458.69,Employed,702,24623.3,0.477,2,0.075,0.126,19,0
44,45324.55,Unemployed,850,3594.12,0.315,0,0.66,0.133,43,0
63,95609.2,Employed,552,35776.27,0.502,0,0.37,0.163,37,0
67,114501.81,Employed,551,23866.54,0.226,2,0.29,0.174,59,0
44,29393.39,Employed,755,3207.92,0.338,2,0.053,0.01,46,0
23,38464.88,Unemployed,678,18575.4,0.379,0,0.572,0.164,50,1
38,29246.36,Self-Employed,739,4483.23,0.602,0,0.171,0.115,49,0
31,26503.39,Retired,598,10232.75,0.475,2,0.506,0.085,18,0
44,68427.73,Employed,684,22188.31,0.381,1,0.206,0.123,29,0
50,44430.69,Retired,714,13607.61,0.446,1,0.425,0.119,29,0
44,50321.27,Employed,639,31381.31,0.513,1,0.118,0.108,51,0
30,64739.03,Self-Employed,697,15340.33,0.406,0,0.363,-0.041,37,0
36,19366.63,Self-Employed,578,14436.72,0.196,0,0.383,0.111,35,0
54,93282.05,Employed,710,28541.0,0.444,3,0.436,0.084,33,0
22,41169.5,Employed,788,12057.5,0.346,2,0.594,0.128,51,0
31,63971.99,Employed,587,14543.51,0.297,0,0.514,0.096,20,0
65,66860.02,Employed,583,15740.64,0.232,0,0.744,0.27,35,0
25,97284.82,Self-Employed,769,14178.74,0.437,0,0.085,0.084,57,0
41,46516.92,Employed,581,29617.8,0.427,1,0.86,-0.022,42,0
31,16952.68,Self-Employed,743,9896.33,0.207,2,0.607,0.092,29,0
26,50441.21,Employed,684,8971.57,0.184,0,0.303,0.064,39,0
42,54195.51,Employed,649,7808.68,0.634,0,0.618,0.117,13,0
47,29227.62,Self-Employed,790,4084.28,0.479,0,0.789,0.064,25,0
29,52772.49,Employed,750,35962.98,0.363,1,0.645,0.151,30,0
24,40924.77,Retired,701,8600.09,0.441,1,0.183,0.099,18,0
27,25049.85,Retired,519,12795.42,0.28,1,0.409,0.128,45,0
53,68579.06,Employed,733,37601.22,0.324,0,0.566,0.218,17,0
64,36980.18,Employed,600,13559.84,0.353,1,0.393,0.105,52,0
30,40007.03,Employed,663,20103.37,0.495,0,0.497,-0.007,43,0
37,38898.48,Self-Employed,681,6295.84,0.138,1,0.512,0.062,25,0
38,90920.37,Employed,822,34166.9,0.197,3,0.183,-0.01,27,0
39,48028.12,Retired,661,13725.92,0.166,0,0.677,0.053,35,0
33,50998.42,Retired,573,8014.63,0.478,1,0.42,-0.1,48,0
23,39327.6,Employed,790,8011.12,0.335,0,0.39,0.167,34,0
47,61786.08,Self-Employed,734,40700.09,0.213,1,0.202,-0.019,50,0
38,96245.65,Employed,737,10386.83,0.317,1,0.347,0.158,34,0
38,67773.76,Employed,792,8119.66,0.255,0,0.606,0.049,44,0
34,69108.53,Employed,809,11386.21,0.135,0,0.453,0.078,56,0
67,66377.61,Self-Employed,613,15172.25,0.539,0,0.556,0.23,38,0
51,24584.68,Employed,576,16172.89,0.328,2,0.393,0.075,19,0
41,31632.51,Retired,743,19275.97,0.543,0,0.419,0.022,32,0
31,44245.38,Employed,660,16998.1,0.133,2,0.039,0.06,64,0
61,34100.52,Self-Employed,667,21769.89,0.426,1,0.486,0.0,27,0
65,28788.51,Retired,596,12535.9,0.134,0,0.357,0.168,7,0
22,19223.95,Self-Employed,724,51190.42,0.717,0,0.47,0.144,20,1
67,25002.61,Employed,710,11014.15,0.091,1,0.0,0.076,31,0
55,43119.79,Employed,668,33237.57,0.619,0,0.957,0.161,42,0
25,47348.33,Employed,576,10307.14,0.347,1,0.416,0.148,52,0
58,32973.95,Employed,771,6268.8,0.323,0,0.502,0.078,22,0
26,50993.97,Retired,699,5430.28,0.438,0,0.485,0.119,55,0
23,39461.59,Employed,764,17718.6,0.209,0,0.33,0.081,45,0
26,84565.93,Employed,522,29648.75,0.468,2,0.493,0.047,51,0
43,45215.13,Self-Employed,684,7401.12,0.479,0,0.661,-0.1,49,0
51,69436.33,Employed,626,8721.12,0.352,2,0.439,0.077,29,0
41,54263.49,Retired,683,18614.14,0.388,2,0.589,0.099,62,0
27,24317.81,Employed,751,14742.28,0.639,2,0.569,-0.012,54,0
30,46848.34,Employed,708,10390.13,0.448,2,0.555,0.166,36,0
63,26428.23,Self-Employed,681,6853.01,0.233,1,0.807,0.081,56,0
69,46441.07,Employed,681,17773.17,0.463,0,0.478,0.132,74,0
58,33773.6,Retired,563,21845.69,0.269,2,0.383,0.121,50,0
26,59336.6,Employed,612,19831.95,0.24,1,0.391,0.09,6,0
61,25054.85,Employed,764,15001.54,0.427,0,0.49,0.053,11,0
55,49382.48,Employed,642,7836.73,0.199,0,0.103,0.041,39,0
47,65264.78,Employed,766,17831.7,0.357,1,0.708,-0.037,21,0
28,77172.45,Employed,742,17049.85,0.451,0,0.346,0.215,24,0
70,33453.65,Employed,746,6714.81,0.636,1,0.38,0.124,39,0
43,49457.82,Employed,705,12315.27,0.446,0,0.113,0.02,30,0
23,53748.63,Retired,647,18395.44,0.13,1,0.424,0.143,48,0
31,106251.39,Employed,669,14087.68,0.153,0,0.102,0.005,50,0
41,23372.96,Self-Employed,728,4553.63,0.609,1,0.03,0.146,20,0
24,31084.01,Employed,521,10054.62,0.255,3,0.239,0.133,39,0
37,199233.19,Unemployed,773,9661.21,0.123,0,0.346,0.046,28,0
44,42763.98,Employed,642,20652.18,0.199,0,0.211,-0.029,46,0
68,19043.92,Employed,674,70194.84,0.469,0,0.463,0.058,32,1
25,36633.74,Employed,674,16000.56,0.367,1,0.67,0.106,49,0
49,12277.99,Employed,677,7195.56,0.447,0,0.448,-0.028,34,0
66,55296.25,Employed,581,13409.2,0.345,0,0.0,0.042,59,0
61,73489.1,Employed,691,14859.29,0.185,1,0.396,0.202,39,0
67,31075.31,Retired,725,23247.6,0.082,1,0.528,0.092,12,0
29,38740.39,Employed,527,31109.64,0.225,1,0.319,0.309,43,0
61,77794.58,Retired,582,34016.83,0.368,2,0.469,0.133,31,0
69,20432.71,Employed,747,20380.58,0.172,0,0.458,0.082,5,0
37,25316.57,Employed,733,14757.76,0.497,0,0.158,0.026,30,0
45,43736.68,Employed,702,35955.64,0.2,3,0.665,0.006,43,0
47,33652.16,Employed,629,11986.05,0.102,2,0.336,0.11,47,0
45,42322.18,Unemployed,734,15255.38,0.35,0,0.328,0.059,45,0
35,26059.17,Employed,590,12758.31,0.464,0,0.499,0.072,35,0
69,54565.48,Unemployed,670,4110.19,0.574,0,0.047,0.113,29,0
68,45496.17,Employed,582,31667.76,0.108,0,0.679,0.043,21,0
40,64511.27,Employed,668,22143.77,0.564,0,0.184,0.167,48,0
61,54187.19,Employed,603,3561.7,0.378,1,0.798,0.12,46,0
40,54357.89,Self-Employed,737,26931.52,0.257,1,0.648,0.051,26,0
60,23785.85,Employed,712,12307.17,0.452,1,0.178,0.117,57,0
50,62711.23,Retired,637,26718.93,0.553,0,0.473,-0.085,49,0
44,41546.43,Employed,762,15451.7,0.098,1,0.19,0.13,49,0
27,45102.86,Employed,608,6539.37,0.285,0,0.159,0.128,35,0
53,82795.76,Self-Employed,677,15000.1,0.268,0,0.0,-0.066,65,0
37,34210.31,Employed,634,8612.14,0.444,1,0.54,-0.05,23,0
31,96335.5,Unemployed,736,7088.78,0.569,0,0.3,0.074,3,0
30,100935.57,Employed,728,24840.17,0.361,1,0.573,0.048,49,0
70,71424.21,Self-Employed,778,18674.75,0.306,2,0.45,0.095,49,0
26,30022.12,Employed,686,36262.57,0.417,1,0.132,0.104,48,0
60,16429.82,Retired,458,11653.58,0.315,2,0.585,0.222,54,1
64,84071.04,Employed,648,8285.46,0.025,1,0.514,0.071,52,0
22,51828.35,Unemployed,797,21661.3,0.428,1,0.294,0.148,53,0
50,33772.47,Employed,656,8953.42,0.498,2,0.615,0.062,41,0
49,88148.76,Self-Employed,536,12257.38,0.511,2,0.34,0.13,41,0
38,31863.63,Unemployed,714,20232.74,0.177,0,0.227,0.066,37,0
54,39653.02,Unemployed,719,13690.16,0.441,1,0.358,-0.006,51,1
41,63732.2,Employed,625,11012.23,0.58,1,0.319,0.05,25,0
42,28090.83,Employed,661,6363.94,0.73,0,0.074,0.13,33,0
42,46409.5,Unemployed,616,25903.54,0.422,1,0.0,0.006,19,0
61,84505.22,Employed,719,11836.51,0.498,0,0.762,0.105,45,0
52,54478.17,Self-Employed,684,21393.79,0.201,1,0.649,0.125,60,0
39,91465.14,Employed,593,19763.57,0.181,0,0.725,0.126,23,0
67,86405.03,Employed,679,28417.84,0.498,1,0.598,0.158,11,0
61,49210.84,Employed,625,12818.68,0.045,0,0.309,0.262,34,0
67,15239.25,Self-Employed,790,11984.49,0.373,0,0.361,-0.003,40,0
57,28201.03,Employed,747,7593.43,0.565,1,0.264,0.069,33,0
40,71801.96,Employed,671,10661.66,0.457,1,0.519,0.095,17,0
59,22581.23,Unemployed,686,18118.67,0.456,0,0.504,0.059,52,1
37,41633.22,Employed,756,9043.19,0.343,1,0.325,0.193,40,0
34,58060.47,Retired,667,17844.88,0.289,1,0.496,0.199,62,0
43,102210.06,Employed,737,35609.77,0.673,0,0.655,0.278,50,0
69,36771.93,Employed,791,11303.56,0.535,0,0.399,0.088,22,0
49,35534.39,Employed,643,6710.16,0.477,1,0.144,0.007,42,0
40,47752.04,Employed,803,11521.38,0.354,0,0.5,0.081,44,0
44,58422.51,Self-Employed,782,6288.04,0.262,2,0.131,0.022,60,0
35,45382.26,Employed,699,32877.18,0.512,2,0.222,0.166,26,1
53,82837.34,Employed,647,15535.93,0.304,1,0.461,0.16,16,0
38,32873.7,Employed,698,9536.94,0.362,0,0.536,0.161,36,0
48,52056.27,Self-Employed,662,10552.16,0.442,1,0.421,0.267,32,0
39,61243.09,Unemployed,621,7264.34,0.381,0,0.177,0.101,32,0
37,40130.17,Employed,720,27083.61,0.582,1,1.0,0.048,40,0
69,74596.96,Employed,603,44458.78,0.152,1,0.285,0.096,2,0
38,52811.24,Employed,655,6024.23,0.36,2,0.5,0.022,18,0
24,72723.72,Self-Employed,656,27610.64,0.671,1,0.271,0.044,37,0
39,54016.89,Employed,578,12739.84,0.485,0,0.193,0.101,34,0
47,59171.91,Employed,729,31586.79,0.32,4,0.411,0.139,65,0
25,35732.08,Self-Employed,663,4913.31,0.47,1,0.303,0.033,35,0
36,35761.03,Employed,777,16902.84,0.343,2,0.421,-0.005,15,0
29,90417.96,Self-Employed,662,11559.47,0.57,0,0.256,0.157,25,0
46,67356.54,Employed,650,21926.55,0.473,3,0.43,0.029,50,0
57,29393.16,Retired,612,15316.49,0.22,0,0.235,0.112,31,0
69,53660.46,Employed,683,14963.27,0.386,2,0.637,0.191,5,0
40,14959.65,Employed,683,13855.09,0.413,0,0.466,0.164,45,0
64,36791.79,Employed,736,37698.64,0.42,0,0.372,0.147,52,0
31,79261.98,Employed,685,13293.3,0.398,1,0.396,0.187,33,0
60,46047.43,Self-Employed,837,24799.28,0.435,0,0.317,0.119,27,0
49,51997.78,Employed,714,21527.96,0.413,0,0.426,0.011,48,0
58,12000.0,Employed,606,25166.91,0.242,0,0.729,0.296,5,1
58,40290.59,Self-Employed,600,8031.69,0.282,0,0.274,0.135,46,0
47,58054.42,Employed,720,22568.35,0.312,2,0.435,0.138,36,0
33,61860.98,Self-Employed,604,18072.05,0.364,3,0.231,0.114,48,0
47,79314.63,Self-Employed,725,7232.4,0.312,3,0.0,-0.036,18,0
62,44128.94,Employed,747,12998.15,0.515,0,0.535,0.03,34,0
69,45124.12,Self-Employed,749,58487.47,0.206,0,0.637,0.231,50,0
67,25183.42,Unemployed,615,11671.63,0.09,1,0.496,-0.054,43,0
30,44255.69,Unemployed,749,11842.03,0.645,0,0.914,0.09,2,0
50,26087.52,Employed,704,19349.58,0.227,2,0.321,0.121,48,0
26,19459.0,Employed,634,10673.06,0.515,1,0.203,0.072,51,0
54,28492.9,Retired,668,16062.97,0.441,2,0.66,0.262,41,0
70,104228.66,Employed,715,11278.51,0.233,1,0.674,-0.023,36,0
23,42818.24,Employed,630,18796.61,0.33,3,0.642,0.042,50,0
53,54717.49,Employed,703,14226.59,0.308,1,0.162,0.126,37,0
68,37920.68,Self-Employed,788,47628.93,0.403,1,0.246,0.132,8,0
63,20024.75,Self-Employed,752,15178.03,0.235,1,0.039,0.108,24,0
40,78280.72,Retired,686,12918.73,0.324,1,0.834,0.121,58,0
26,16546.02,Retired,698,27382.56,0.344,1,0.198,0.049,31,1
67,37145.71,Employed,640,6408.3,0.515,1,0.135,0.073,38,0
67,47700.28,Employed,642,40742.76,0.288,2,0.377,0.016,10,0
49,55008.6,Employed,565,8159.28,0.204,2,0.426,0.132,43,0
69,34090.2,Employed,699,30196.12,0.268,1,0.547,-0.036,44,0
21,19555.64,Employed,731,35382.26,0.405,0,0.371,-0.009,69,0
51,32841.67,Retired,675,10769.96,0.084,1,0.251,0.17,47,0
22,33712.4,Employed,614,11409.16,0.53,2,0.313,0.053,50,0
67,33304.68,Employed,685,13828.59,0.353,0,0.267,0.293,8,0
55,79620.69,Employed,781,21438.16,0.415,0,0.707,0.063,27,0
66,26720.83,Employed,747,8112.53,0.383,1,0.399,0.063,67,0
49,56981.94,Employed,678,13828.19,0.25,2,0.54,0.205,49,0
25,53058.4,Employed,834,12233.64,0.188,1,0.354,0.178,42,0
22,79239.29,Employed,850,7399.83,0.245,0,0.0,0.084,62,0
37,45863.92,Employed,644,7887.21,0.124,0,0.761,0.093,22,0
58,72806.86,Unemployed,662,15945.76,0.402,0,0.528,0.18,41,0
28,44976.25,Self-Employed,732,15777.11,0.326,2,0.485,0.116,42,0
63,60912.66,Unemployed,612,9335.82,0.12,0,0.0,0.073,33,0
32,23121.76,Employed,744,15483.73,0.258,0,0.369,0.085,14,0
45,13106.47,Employed,688,10014.89,0.448,0,0.739,0.258,57,1
31,59205.72,Employed,708,32346.29,0.544,0,0.685,0.075,36,0
44,60814.99,Retired,637,13880.09,0.157,1,0.352,0.075,42,0
43,62177.67,Employed,621,28524.57,0.674,1,0.668,0.097,25,0
21,37704.46,Employed,531,5347.51,0.206,1,0.745,0.105,24,0
49,103245.11,Retired,791,17919.76,0.094,0,0.366,0.041,30,0
60,38951.05,Retired,751,21113.06,0.614,0,0.69,0.228,32,0
67,60502.47,Employed,731,13592.45,0.194,1,0.68,0.071,52,0
37,65993.93,Self-Employed,706,10685.98,0.579,4,0.585,0.14,41,0
65,115771.08,Employed,507,13462.58,0.25,0,0.606,0.232,20,0
64,41834.86,Employed,624,23051.34,0.306,3,0.208,0.074,12,1
70,35362.37,Employed,661,7141.51,0.154,1,0.573,0.133,49,0
39,23177.27,Retired,599,22478.03,0.542,0,0.372,0.003,51,0
63,106530.17,Employed,553,17872.52,0.521,0,0.201,0.039,30,0
49,60518.56,Self-Employed,607,12626.14,0.251,0,0.735,0.112,26,0
23,61483.9,Employed,684,12954.03,0.339,1,0.374,0.069,36,0
34,232897.13,Self-Employed,684,15323.09,0.449,4,0.452,0.162,36,0
54,57671.73,Self-Employed,748,39941.52,0.279,2,0.431,0.06,39,0
29,25561.42,Self-Employed,835,18193.17,0.555,2,0.058,0.081,51,0
42,44446.8,Retired,731,8386.55,0.334,0,0.335,0.052,50,0
59,30109.88,Self-Employed,667,11371.0,0.272,0,0.57,0.19,48,0
28,40217.83,Self-Employed,815,7429.79,0.113,0,0.403,0.086,20,0
45,40082.9,Employed,561,4751.08,0.156,2,0.322,0.05,43,0
31,36551.88,Retired,524,7351.92,0.438,0,0.473,0.032,40,0
47,24424.91,Employed,613,15867.78,0.385,2,0.636,0.014,16,1
33,108689.54,Employed,741,31709.59,0.472,1,0.04,0.157,29,0
69,56921.25,Employed,693,26835.05,0.266,0,0.377,0.095,42,0
24,43794.52,Employed,595,7382.32,0.104,0,0.404,0.337,14,0
69,71597.75,Employed,625,9149.09,0.276,0,0.789,0.058,26,0
60,62039.94,Employed,587,8406.75,0.656,0,0.665,-0.023,36,0
63,56265.98,Employed,587,3137.04,0.205,0,0.096,0.084,29,0
63,69043.98,Retired,796,13351.92,0.345,0,0.695,0.282,51,0
30,52416.01,Retired,669,23907.63,0.0,3,0.367,0.129,46,0
67,68535.75,Employed,813,12689.95,0.272,0,0.046,0.094,15,0
50,71435.92,Retired,613,6900.23,0.288,0,0.104,0.058,22,0
69,53175.84,Employed,717,8892.03,0.4,0,0.7,0.075,52,0
64,43905.85,Employed,697,12120.97,0.302,2,0.5,0.196,44,0
49,105366.38,Retired,746,23438.42,0.122,0,0.184,0.034,2,0
39,38601.61,Self-Employed,699,13230.89,0.25,2,0.748,0.103,56,0
26,59614.66,Self-Employed,754,21610.74,0.319,0,0.556,0.112,35,0
26,60291.97,Employed,722,14061.49,0.201,1,0.344,0.101,34,0
40,36142.37,Employed,598,17018.79,0.222,1,0.466,0.076,22,0
61,32731.36,Employed,735,8399.26,0.501,1,0.207,-0.016,54,0
46,41071.67,Retired,672,9783.9,0.256,0,0.84,0.118,43,0
45,38326.3,Employed,622,6950.12,0.416,4,0.139,0.078,33,0
33,23645.66,Employed,732,21183.83,0.323,0,0.117,0.199,2,0
49,35392.4,Employed,749,12397.98,0.166,1,0.443,0.087,28,0
52,56000.25,Self-Employed,644,1705.17,0.3,1,1.0,0.096,19,0
70,92315.91,Employed,654,19706.28,0.394,2,0.091,0.113,29,0
57,64679.25,Self-Employed,576,26489.0,0.611,1,0.579,0.138,22,0
51,13362.84,Employed,545,9072.23,0.234,0,0.415,-0.044,47,0
66,67551.93,Employed,662,19696.0,0.337,0,0.488,0.125,58,0
42,37083.38,Employed,739,13018.98,0.486,0,0.651,-0.036,34,0
67,61484.48,Employed,637,4143.55,0.539,1,0.249,0.071,18,0
39,48675.56,Self-Employed,787,47656.8,0.253,1,0.343,0.151,30,0
27,44518.33,Unemployed,665,13065.99,0.327,0,0.248,0.266,28,0
41,46577.93,Employed,665,16661.39,0.517,1,0.708,0.021,59,0
27,48474.24,Employed,658,10150.17,0.427,0,0.68,0.034,36,0
26,96009.51,Employed,754,12365.7,0.505,0,0.153,-0.035,57,0
65,48541.28,Retired,608,16268.69,0.526,0,0.484,0.042,14,0
60,84353.2,Retired,670,7898.88,0.433,1,0.631,0.283,35,0
32,78429.31,Self-Employed,639,40797.61,0.372,2,0.05,-0.027,19,0
62,68427.0,Employed,638,24413.41,0.249,1,0.705,-0.1,33,0
24,20064.16,Employed,683,20132.63,0.313,1,0.386,0.171,43,0
35,85675.0,Retired,672,13560.69,0.323,1,0.3,0.169,12,0
56,38989.57,Employed,759,9351.28,0.53,2,0.707,0.104,27,0
36,70113.01,Self-Employed,679,27393.3,0.376,1,0.649,0.11,32,0
57,30143.77,Retired,722,21299.01,0.378,2,0.099,0.163,38,0
64,27104.72,Self-Employed,693,11618.41,0.201,1,0.559,0.165,12,0
24,131688.47,Employed,785,7702.4,0.531,0,0.55,0.018,41,0
22,30379.05,Employed,657,5735.66,0.235,1,0.0,-0.0,42,0
68,86946.94,Retired,658,15020.08,0.307,0,0.523,0.02,50,0
47,52010.98,Employed,736,12716.37,0.546,0,0.309,0.038,11,0
46,39733.1,Retired,656,30072.75,0.483,1,0.648,0.158,30,0
44,47934.25,Employed,717,26777.65,0.223,2,0.212,0.184,35,0
42,25577.1,Self-Employed,850,15113.39,0.188,1,0.427,0.073,38,0
55,48684.83,Retired,607,14063.36,0.319,0,0.282,0.123,36,0
49,28527.67,Employed,795,7396.39,0.264,1,0.26,0.093,27,0
29,40226.37,Employed,643,27905.71,0.13,0,0.0,0.033,36,0
52,77858.61,Employed,780,14270.68,0.237,0,0.634,0.03,78,0
54,55664.36,Unemployed,731,21229.96,0.0,0,0.655,0.105,44,0
26,23363.14,Self-Employed,725,29914.02,0.486,0,0.416,0.161,12,1
39,75037.56,Employed,669,10515.81,0.476,0,0.482,0.133,58,0
60,48847.09,Unemployed,661,8984.45,0.561,2,0.239,0.084,60,0
51,37380.61,Retired,626,64940.28,0.403,1,0.636,0.211,47,0
27,71206.41,Retired,680,21092.68,0.283,1,0.454,0.225,54,0
23,45089.13,Employed,666,12491.97,0.504,1,0.414,-0.021,70,0
50,27369.08,Retired,694,31068.12,0.245,1,0.724,0.005,39,0
44,123488.69,Unemployed,574,12271.64,0.151,1,0.114,-0.016,51,0
69,48598.9,Employed,682,17949.03,0.328,1,0.0,0.172,58,0
47,47066.06,Retired,775,10499.26,0.412,0,0.498,0.078,23,0
67,40032.52,Employed,751,14615.2,0.228,0,0.354,0.105,58,0
31,88431.44,Retired,682,12525.95,0.193,1,0.15,0.148,38,0
43,37705.48,Self-Employed,850,9403.82,0.287,1,0.438,0.099,50,0
27,22640.83,Self-Employed,637,17080.92,0.412,1,0.48,0.049,49,0
49,34914.63,Employed,673,10065.24,0.328,0,0.593,0.012,25,0
30,95166.88,Employed,571,20860.07,0.745,0,0.157,0.081,55,0
45,74314.85,Employed,650,12299.0,0.33,1,0.31,0.164,28,0
38,43152.35,Self-Employed,814,5260.28,0.463,0,0.466,-0.035,39,0
30,97404.49,Unemployed,653,21429.18,0.133,1,0.644,0.061,47,0
25,71251.5,Employed,565,21645.62,0.438,0,0.6,-0.055,44,0
46,42903.36,Employed,745,57075.56,0.281,0,0.292,0.174,27,0
68,45118.38,Self-Employed,709,14922.61,0.349,3,0.514,-0.033,16,1
30,57795.08,Employed,742,16481.49,0.603,2,0.285,-0.029,23,0
41,32339.88,Employed,658,19675.98,0.294,0,0.309,0.167,46,1
32,49131.35,Employed,604,27223.1,0.154,0,0.331,0.048,43,0
61,57197.0,Self-Employed,666,26221.1,0.177,1,0.259,-0.045,32,1
41,21089.21,Employed,722,17877.02,0.376,0,0.562,0.142,32,0
69,44593.34,Unemployed,675,14475.53,0.368,1,0.605,0.109,30,1
33,42128.17,Employed,709,24479.64,0.362,1,0.312,0.255,19,0
25,81963.89,Employed,640,14118.49,0.157,0,0.438,0.002,49,0
50,19491.85,Self-Employed,712,6812.4,0.654,1,0.315,0.021,18,0
53,40507.69,Retired,680,5998.5,0.57,1,0.194,0.04,37,0
70,38527.31,Employed,627,12382.52,0.37,1,0.16,0.178,54,0
64,79224.07,Unemployed,690,15866.76,0.122,1,0.785,-0.059,34,0
65,47964.99,Self-Employed,651,65069.91,0.588,1,0.236,0.07,59,1
52,120336.51,Retired,726,13738.88,0.521,1,0.54,0.119,19,0
38,68261.88,Employed,745,15183.44,0.365,1,0.486,0.193,15,0
42,39930.21,Employed,718,11584.23,0.53,0,0.138,0.029,2,0
27,55261.37,Employed,557,21402.94,0.276,0,0.493,0.121,46,0
42,41067.22,Self-Employed,608,17469.4,0.206,0,0.465,0.047,5,0
39,75334.84,Unemployed,632,10066.8,0.374,0,0.395,-0.001,59,0
22,25182.41,Employed,620,8047.56,0.117,0,0.304,0.088,61,0
31,32472.6,Employed,639,11597.91,0.183,0,0.399,0.075,39,0
47,61564.76,Employed,749,8901.52,0.432,2,0.504,0.137,23,0
39,90479.47,Employed,732,12852.63,0.386,0,0.211,0.255,7,0
70,16301.55,Retired,648,16072.87,0.143,1,0.716,0.132,41,0
44,97463.73,Employed,724,10930.19,0.289,1,0.551,0.097,35,0
68,45703.6,Self-Employed,705,35337.48,0.149,2,0.0,0.141,38,0
54,19111.82,Employed,678,29603.17,0.277,0,0.351,0.038,43,1
23,12000.0,Retired,766,12865.0,0.26,1,0.869,0.16,19,0
31,22818.05,Unemployed,630,8279.19,0.499,0,0.479,0.044,32,0
56,48540.2,Employed,684,14503.19,0.326,0,0.241,0.122,37,0
48,47431.93,Self-Employed,601,13626.46,0.314,2,0.541,0.078,69,0
36,67278.78,Unemployed,605,14218.95,0.291,0,0.0,0.075,47,0
47,37244.38,Retired,578,11628.16,0.092,2,0.459,0.224,37,1
66,28169.07,Employed,606,7866.45,0.335,1,0.29,0.025,20,0
40,39873.08,Employed,686,15077.12,0.422,0,0.409,0.135,54,0
23,49851.56,Employed,657,11961.89,0.385,0,0.107,0.062,60,0
36,55016.39,Self-Employed,660,12617.48,0.454,1,0.305,0.168,12,0
67,33038.13,Employed,658,15621.08,0.461,0,0.0,-0.009,7,0
59,76935.55,Retired,813,14162.95,0.68,0,0.264,0.069,36,0
62,35929.06,Employed,595,15418.63,0.181,0,0.427,0.022,32,0
66,31733.92,Retired,587,11634.03,0.385,1,0.645,0.222,56,0
26,37376.75,Employed,617,18326.2,0.402,1,0.942,0.199,18,0
35,83903.29,Employed,675,9598.1,0.302,0,0.22,0.039,21,0
23,45871.61,Employed,719,7686.61,0.255,0,0.511,0.004,12,0
21,34639.27,Self-Employed,726,8656.04,0.425,0,0.326,0.06,20,0
62,77890.08,Unemployed,751,9837.79,0.41,0,0.334,0.161,37,0
67,143110.78,Employed,672,6817.98,0.192,0,0.42,0.12,12,0
28,54439.28,Employed,650,5347.45,0.08,2,0.365,0.066,84,0
57,90846.02,Retired,803,19971.8,0.276,0,0.811,0.188,2,0
47,82292.81,Employed,471,31715.03,0.249,0,0.334,0.125,27,1
24,36213.24,Employed,685,20632.49,0.44,1,0.148,0.03,38,0
66,49677.98,Retired,712,11049.52,0.211,2,0.44,-0.068,54,0
64,25815.43,Employed,821,5271.86,0.323,0,0.164,0.263,20,0
49,44246.38,Employed,555,16566.97,0.094,0,0.319,0.076,7,0
56,35843.04,Employed,648,5628.6,0.117,0,0.633,-0.092,20,0
40,40076.97,Self-Employed,578,14016.69,0.235,0,0.345,0.123,62,0
60,33693.24,Employed,545,9138.51,0.312,1,0.514,-0.035,4,0
43,42465.68,Retired,665,3758.0,0.227,0,0.354,0.202,51,0
